Order_ID,Order_Date,Customer_ID,Customer_Name,City,Category,Sub_Category,Product_ID,Product_Name,Quantity,Price,Discount,Revenue,Profit,Payment_Method
ORD1000,2024-08-13,CUST837,Priya,Mumbai,Electronics,Smartwatch,PROD1462,Smartwatch 37,5,48229.16,0.08,221854.14,16946.12,Credit Card
ORD1001,2024-01-06,CUST816,Isha,Kolkata,Electronics,Smartwatch,PROD4576,Smartwatch 25,4,18980.87,0.23,58461.08,8175.3,COD
ORD1002,2024-01-31,CUST419,Sneha,Kolkata,Clothing,Dress,PROD4713,Dress 47,5,5103.9,0.24,19394.82,2361.62,Netbanking
ORD1003,2023-04-30,CUST431,Arjun,Bangalore,Home,Mattress,PROD8265,Mattress 25,5,25852.86,0.28,93070.3,21123.54,Credit Card
ORD1004,2023-07-25,CUST238,Isha,Jaipur,Home,Table,PROD1395,Table 49,4,4996.67,0.26,14790.14,3630.79,UPI
ORD1005,2024-12-23,CUST537,Vivaan,Bangalore,Electronics,Smartwatch,PROD7552,Smartwatch 37,3,9431.63,0.26,20938.22,4489.7,UPI
ORD1006,2024-09-20,CUST696,Diya,Hyderabad,Clothing,Jacket,PROD1227,Jacket 49,4,19730.1,0.03,76552.79,3830.59,COD
ORD1007,2024-12-30,CUST539,Meera,Delhi,Electronics,Smartphone,PROD1404,Smartphone 17,5,19005.68,0.07,88376.41,12436.2,Netbanking
ORD1008,2023-08-13,CUST821,Sanya,Chennai,Home,Table,PROD1696,Table 14,3,47144.18,0.19,114560.36,17846.21,Netbanking
ORD1009,2024-02-20,CUST518,Diya,Mumbai,Accessories,Wallet,PROD4615,Wallet 32,5,18916.03,0.07,87959.54,10351.91,Credit Card
ORD1010,2024-12-11,CUST915,Ananya,Kolkata,Home,Curtains,PROD1668,Curtains 14,5,26357.14,0.04,126514.27,7609.69,Credit Card
ORD1011,2024-01-06,CUST638,Sanya,Mumbai,Clothing,Dress,PROD7302,Dress 28,3,34092.34,0.14,87958.24,25552.6,COD
ORD1012,2024-12-10,CUST544,Sanya,Hyderabad,Home,Table,PROD9485,Table 6,1,18469.36,0.26,13667.33,3356.19,COD
ORD1013,2023-07-17,CUST987,Sneha,Bangalore,Home,Curtains,PROD4781,Curtains 4,3,25766.65,0.06,72661.95,9803.48,Credit Card
ORD1014,2024-10-04,CUST684,Diya,Bangalore,Home,Curtains,PROD5719,Curtains 5,5,1170.14,0.16,4914.59,518.07,Credit Card
ORD1015,2023-02-13,CUST517,Arjun,Kolkata,Clothing,Jacket,PROD5477,Jacket 50,3,18327.89,0.24,41787.59,10828.0,COD
ORD1016,2024-12-28,CUST978,Meera,Hyderabad,Accessories,Wallet,PROD1395,Wallet 26,2,40058.34,0.01,79315.51,8189.55,Netbanking
ORD1017,2024-05-25,CUST325,Vivaan,Chennai,Accessories,Wallet,PROD6899,Wallet 45,5,17528.06,0.16,73617.85,21215.38,Credit Card
ORD1018,2024-09-21,CUST592,Sneha,Hyderabad,Accessories,Belt,PROD9177,Belt 14,1,32048.07,0.04,30766.15,2351.88,COD
ORD1019,2024-07-30,CUST486,Rohan,Hyderabad,Home,Table,PROD4010,Table 4,2,36091.39,0.25,54137.08,3114.48,UPI
ORD1020,2023-01-01,CUST763,Rahul,Bangalore,Home,Chair,PROD9809,Chair 14,2,10316.04,0.29,14648.78,1281.19,UPI
ORD1021,2024-11-26,CUST936,Sneha,Hyderabad,Accessories,Sunglasses,PROD7071,Sunglasses 44,2,25478.09,0.14,43822.31,9130.03,UPI
ORD1022,2023-07-21,CUST582,Ananya,Jaipur,Electronics,Tablet,PROD3518,Tablet 31,3,16242.23,0.27,35570.48,7610.3,UPI
ORD1023,2023-04-17,CUST699,Rohan,Hyderabad,Home,Mattress,PROD1536,Mattress 25,5,6839.38,0.07,31803.12,9345.7,Credit Card
ORD1024,2024-09-12,CUST386,Aarav,Hyderabad,Clothing,Dress,PROD5275,Dress 11,4,2319.72,0.01,9186.09,504.32,Credit Card
ORD1025,2024-11-27,CUST157,Kabir,Ahmedabad,Clothing,Jeans,PROD6306,Jeans 23,3,17715.26,0.22,41453.71,2601.01,UPI
ORD1026,2023-05-14,CUST296,Kunal,Ahmedabad,Home,Chair,PROD8168,Chair 20,2,926.24,0.13,1611.66,434.63,Netbanking
ORD1027,2024-06-08,CUST487,Kabir,Delhi,Accessories,Wallet,PROD8207,Wallet 29,1,28042.38,0.21,22153.48,6542.68,Credit Card
ORD1028,2024-10-29,CUST636,Sneha,Ahmedabad,Clothing,T-Shirt,PROD5402,T-Shirt 18,5,6606.14,0.13,28736.71,6229.64,Credit Card
ORD1029,2024-10-08,CUST251,Kunal,Ahmedabad,Clothing,Shoes,PROD5717,Shoes 4,1,34404.44,0.26,25459.29,1879.33,UPI
ORD1030,2023-12-01,CUST565,Rohan,Hyderabad,Home,Table,PROD3827,Table 41,2,35900.09,0.04,68928.17,14017.53,UPI
ORD1031,2023-10-13,CUST132,Rohan,Jaipur,Accessories,Sunglasses,PROD2128,Sunglasses 31,1,4602.79,0.08,4234.57,405.86,Netbanking
ORD1032,2023-01-20,CUST986,Aarav,Kolkata,Accessories,Watch,PROD9007,Watch 24,1,6598.23,0.08,6070.37,1237.07,UPI
ORD1033,2024-10-20,CUST936,Rohan,Ahmedabad,Clothing,Dress,PROD3081,Dress 44,1,12649.48,0.02,12396.49,1929.61,UPI
ORD1034,2023-05-23,CUST577,Rohan,Chennai,Home,Table,PROD3797,Table 31,4,16440.22,0.19,53266.31,15507.72,Netbanking
ORD1035,2023-06-17,CUST367,Priya,Pune,Clothing,Jacket,PROD9034,Jacket 29,5,26977.67,0.2,107910.68,14123.29,Credit Card
ORD1036,2023-12-08,CUST820,Isha,Chennai,Clothing,Dress,PROD5205,Dress 42,4,28075.48,0.07,104440.79,15455.11,UPI
ORD1037,2024-06-14,CUST556,Isha,Mumbai,Electronics,Laptop,PROD1447,Laptop 12,5,44693.5,0.08,205590.1,49512.97,Credit Card
ORD1038,2024-04-20,CUST116,Vivaan,Jaipur,Home,Chair,PROD8343,Chair 47,1,26035.58,0.16,21869.89,2653.17,Credit Card
ORD1039,2023-03-31,CUST361,Sneha,Kolkata,Accessories,Bag,PROD8297,Bag 16,5,39962.4,0.11,177832.68,21502.49,Netbanking
ORD1040,2023-01-21,CUST102,Kunal,Kolkata,Home,Chair,PROD5525,Chair 13,1,32184.61,0.12,28322.46,6881.34,UPI
ORD1041,2024-08-28,CUST493,Meera,Jaipur,Electronics,Tablet,PROD9668,Tablet 3,3,4458.74,0.1,12038.6,2215.06,Credit Card
ORD1042,2024-02-03,CUST278,Aarav,Mumbai,Electronics,Headphones,PROD6407,Headphones 38,3,45757.69,0.25,102954.8,10939.23,Netbanking
ORD1043,2023-09-06,CUST378,Kabir,Ahmedabad,Clothing,Jacket,PROD2114,Jacket 26,5,39323.01,0.26,145495.14,41188.43,UPI
ORD1044,2024-05-19,CUST235,Sneha,Lucknow,Electronics,Laptop,PROD4894,Laptop 47,2,17701.32,0.07,32924.46,2945.56,Credit Card
ORD1045,2024-03-15,CUST158,Ananya,Pune,Home,Curtains,PROD9099,Curtains 37,2,36691.29,0.07,68245.8,13379.38,UPI
ORD1046,2024-02-02,CUST634,Aditi,Bangalore,Clothing,Jeans,PROD1088,Jeans 34,4,38450.64,0.0,153802.56,37148.52,Netbanking
ORD1047,2023-05-27,CUST193,Arjun,Bangalore,Clothing,Jeans,PROD4916,Jeans 3,1,19935.43,0.07,18539.95,2396.02,Netbanking
ORD1048,2023-11-12,CUST720,Sanya,Pune,Home,Curtains,PROD1046,Curtains 14,4,22528.15,0.21,71188.95,11783.32,UPI
ORD1049,2024-11-23,CUST943,Kunal,Lucknow,Home,Table,PROD3292,Table 20,4,45620.54,0.27,133211.98,25559.47,Credit Card
ORD1050,2024-09-26,CUST880,Isha,Jaipur,Electronics,Tablet,PROD1431,Tablet 4,3,1670.8,0.08,4611.41,1127.03,Credit Card
ORD1051,2023-11-24,CUST136,Aarav,Pune,Electronics,Laptop,PROD3260,Laptop 26,3,2431.72,0.16,6127.93,1751.22,Credit Card
ORD1052,2023-03-17,CUST592,Diya,Delhi,Accessories,Bag,PROD8013,Bag 10,2,30747.87,0.05,58420.95,16972.33,COD
ORD1053,2024-10-01,CUST249,Kabir,Pune,Electronics,Smartwatch,PROD5711,Smartwatch 22,1,37246.59,0.27,27190.01,3077.19,COD
ORD1054,2023-07-20,CUST634,Aarav,Lucknow,Accessories,Wallet,PROD6933,Wallet 29,5,30086.49,0.01,148928.13,12607.89,Netbanking
ORD1055,2024-01-31,CUST400,Sanya,Kolkata,Clothing,Dress,PROD7590,Dress 22,1,41287.4,0.19,33442.79,4293.42,Netbanking
ORD1056,2024-04-13,CUST388,Sneha,Lucknow,Accessories,Bag,PROD1089,Bag 20,3,14320.7,0.08,39525.13,6383.13,Netbanking
ORD1057,2023-03-29,CUST209,Isha,Delhi,Accessories,Sunglasses,PROD9758,Sunglasses 23,1,12622.13,0.04,12117.24,915.49,COD
ORD1058,2023-04-07,CUST818,Isha,Kolkata,Clothing,Jacket,PROD9169,Jacket 6,1,14201.29,0.09,12923.17,1703.23,UPI
ORD1059,2023-09-27,CUST488,Aditi,Lucknow,Clothing,Dress,PROD6234,Dress 36,4,10807.46,0.2,34583.87,4417.47,Netbanking
ORD1060,2024-08-15,CUST796,Rahul,Ahmedabad,Home,Chair,PROD1692,Chair 47,3,10962.53,0.12,28941.08,4511.75,Credit Card
ORD1061,2023-06-05,CUST873,Sanya,Hyderabad,Accessories,Belt,PROD4370,Belt 39,5,13180.41,0.06,61947.93,12260.42,UPI
ORD1062,2024-09-29,CUST483,Arjun,Kolkata,Accessories,Wallet,PROD5624,Wallet 50,2,20201.88,0.13,35151.27,9933.86,UPI
ORD1063,2024-06-20,CUST374,Isha,Chennai,Electronics,Smartphone,PROD8085,Smartphone 44,5,26060.32,0.16,109453.34,12001.22,COD
ORD1064,2024-01-22,CUST718,Vivaan,Pune,Accessories,Bag,PROD8026,Bag 35,1,8156.56,0.22,6362.12,1401.9,Credit Card
ORD1065,2023-11-25,CUST745,Arjun,Mumbai,Home,Table,PROD5495,Table 23,1,6149.14,0.28,4427.38,805.39,Netbanking
ORD1066,2024-11-24,CUST705,Diya,Delhi,Clothing,Jeans,PROD9994,Jeans 44,5,27759.62,0.1,124918.29,36420.54,UPI
ORD1067,2023-12-22,CUST268,Sanya,Delhi,Home,Mattress,PROD6860,Mattress 37,3,37603.9,0.1,101530.53,6374.39,COD
ORD1068,2023-04-09,CUST858,Sanya,Jaipur,Accessories,Bag,PROD3346,Bag 28,5,33509.46,0.2,134037.84,29826.45,Netbanking
ORD1069,2024-03-23,CUST598,Kunal,Pune,Accessories,Bag,PROD8667,Bag 45,5,25255.34,0.2,101021.36,24895.54,Credit Card
ORD1070,2023-04-14,CUST650,Kabir,Mumbai,Electronics,Laptop,PROD8631,Laptop 1,2,20124.9,0.13,35017.33,4680.71,Netbanking
ORD1071,2023-11-19,CUST613,Aarav,Kolkata,Home,Table,PROD3056,Table 8,2,48877.28,0.2,78203.65,20680.34,Credit Card
ORD1072,2023-12-22,CUST574,Sneha,Mumbai,Accessories,Sunglasses,PROD7504,Sunglasses 49,3,46115.97,0.15,117595.72,25902.4,UPI
ORD1073,2023-07-28,CUST953,Aditi,Chennai,Electronics,Laptop,PROD3939,Laptop 35,1,12111.58,0.26,8962.57,1641.37,COD
ORD1074,2023-01-20,CUST649,Isha,Delhi,Accessories,Watch,PROD8747,Watch 25,5,37145.35,0.21,146724.13,36000.99,COD
ORD1075,2024-07-02,CUST132,Meera,Ahmedabad,Clothing,Shoes,PROD9533,Shoes 1,2,1271.78,0.03,2467.25,602.76,COD
ORD1076,2023-10-26,CUST498,Aditi,Lucknow,Clothing,T-Shirt,PROD8471,T-Shirt 28,2,9849.52,0.16,16547.19,970.24,UPI
ORD1077,2023-12-15,CUST548,Priya,Chennai,Clothing,T-Shirt,PROD3693,T-Shirt 18,4,30502.57,0.07,113469.56,26601.08,Credit Card
ORD1078,2024-01-04,CUST148,Sanya,Chennai,Home,Table,PROD5249,Table 42,1,37210.84,0.23,28652.35,4847.87,Netbanking
ORD1079,2024-04-06,CUST988,Sanya,Bangalore,Clothing,Jeans,PROD2988,Jeans 30,2,8822.57,0.23,13586.76,1876.12,UPI
ORD1080,2023-08-03,CUST724,Meera,Bangalore,Electronics,Laptop,PROD4913,Laptop 42,3,16304.13,0.15,41575.53,11030.12,UPI
ORD1081,2023-03-17,CUST685,Kunal,Mumbai,Home,Chair,PROD9410,Chair 27,3,44332.25,0.12,117037.14,34456.29,Netbanking
ORD1082,2023-01-16,CUST681,Priya,Hyderabad,Home,Chair,PROD2871,Chair 33,2,25658.07,0.13,44645.04,5142.97,COD
ORD1083,2024-05-28,CUST877,Isha,Bangalore,Clothing,Jeans,PROD8794,Jeans 23,2,16429.16,0.07,30558.24,5318.26,UPI
ORD1084,2023-02-06,CUST921,Ananya,Chennai,Electronics,Headphones,PROD4464,Headphones 30,1,22000.44,0.29,15620.31,1202.2,Credit Card
ORD1085,2024-12-01,CUST389,Arjun,Mumbai,Electronics,Smartwatch,PROD9043,Smartwatch 35,1,21202.39,0.22,16537.86,2336.36,Credit Card
ORD1086,2023-10-30,CUST754,Rahul,Hyderabad,Electronics,Headphones,PROD8298,Headphones 4,2,12225.62,0.12,21517.09,4440.08,Credit Card
ORD1087,2023-04-17,CUST750,Aditi,Hyderabad,Electronics,Smartphone,PROD7618,Smartphone 26,2,1436.87,0.08,2643.84,592.23,Credit Card
ORD1088,2024-09-02,CUST445,Meera,Chennai,Clothing,Jacket,PROD8151,Jacket 34,1,44994.06,0.03,43644.24,5948.76,Netbanking
ORD1089,2024-05-15,CUST634,Sneha,Chennai,Clothing,T-Shirt,PROD2773,T-Shirt 48,2,8618.39,0.05,16374.94,1759.49,Netbanking
ORD1090,2024-07-02,CUST831,Vivaan,Jaipur,Clothing,Shoes,PROD3225,Shoes 38,2,7798.5,0.11,13881.33,2648.45,UPI
ORD1091,2024-08-18,CUST454,Priya,Mumbai,Home,Mattress,PROD4438,Mattress 26,3,14528.94,0.29,30946.64,5185.39,UPI
ORD1092,2024-04-24,CUST214,Vivaan,Delhi,Accessories,Belt,PROD6247,Belt 48,4,6893.54,0.09,25092.49,5306.57,Netbanking
ORD1093,2023-06-19,CUST171,Isha,Mumbai,Clothing,Shoes,PROD2883,Shoes 39,3,14359.82,0.06,40494.69,9330.63,Credit Card
ORD1094,2023-01-10,CUST508,Aarav,Lucknow,Home,Chair,PROD9850,Chair 14,4,1113.35,0.05,4230.73,454.12,Netbanking
ORD1095,2023-11-30,CUST260,Vivaan,Ahmedabad,Home,Lamp,PROD7134,Lamp 15,4,34295.97,0.11,122093.65,36453.21,Netbanking
ORD1096,2023-01-30,CUST560,Arjun,Pune,Accessories,Watch,PROD7108,Watch 21,4,41618.42,0.29,118196.31,12161.86,Credit Card
ORD1097,2024-12-19,CUST326,Kabir,Lucknow,Clothing,Dress,PROD5135,Dress 12,3,21834.56,0.15,55678.13,5505.29,UPI
ORD1098,2024-12-15,CUST700,Kabir,Bangalore,Electronics,Smartphone,PROD3388,Smartphone 7,4,40715.28,0.14,140060.56,35189.59,Netbanking
ORD1099,2024-07-02,CUST868,Rahul,Delhi,Accessories,Sunglasses,PROD3242,Sunglasses 9,5,28191.28,0.19,114174.68,19550.15,COD
ORD1100,2024-10-02,CUST771,Kabir,Hyderabad,Electronics,Smartwatch,PROD4074,Smartwatch 36,4,43959.84,0.25,131879.52,27058.03,UPI
ORD1101,2024-11-06,CUST415,Priya,Pune,Accessories,Bag,PROD2207,Bag 18,5,30584.14,0.16,128453.39,12951.6,Credit Card
ORD1102,2023-10-14,CUST978,Vivaan,Mumbai,Clothing,Dress,PROD9193,Dress 18,5,24737.49,0.11,110081.83,8981.41,Netbanking
ORD1103,2024-04-26,CUST996,Aarav,Delhi,Accessories,Bag,PROD6760,Bag 11,3,35847.28,0.04,103240.17,20033.26,Credit Card
ORD1104,2023-06-05,CUST324,Meera,Chennai,Clothing,Shoes,PROD5472,Shoes 43,1,38241.86,0.24,29063.81,6635.64,Credit Card
ORD1105,2024-08-04,CUST847,Priya,Kolkata,Home,Curtains,PROD8237,Curtains 31,5,42858.47,0.28,154290.49,23345.19,Netbanking
ORD1106,2024-02-09,CUST795,Aarav,Mumbai,Clothing,Jacket,PROD1415,Jacket 9,1,35488.44,0.14,30520.06,8730.41,Credit Card
ORD1107,2023-03-03,CUST343,Sanya,Ahmedabad,Accessories,Wallet,PROD6250,Wallet 29,4,6073.27,0.19,19677.39,2835.56,Netbanking
ORD1108,2024-01-27,CUST391,Sanya,Mumbai,Clothing,Shoes,PROD4153,Shoes 10,4,33151.71,0.08,121998.29,30457.31,Credit Card
ORD1109,2023-09-21,CUST863,Rohan,Chennai,Home,Curtains,PROD9436,Curtains 39,1,5560.72,0.27,4059.33,753.1,COD
ORD1110,2023-06-25,CUST667,Kabir,Delhi,Clothing,Dress,PROD4674,Dress 49,4,16406.54,0.21,51844.67,10912.49,UPI
ORD1111,2024-12-31,CUST833,Vivaan,Hyderabad,Home,Table,PROD4439,Table 1,4,34841.34,0.25,104524.02,6114.97,UPI
ORD1112,2024-09-04,CUST851,Kabir,Chennai,Home,Mattress,PROD6072,Mattress 30,5,29485.96,0.24,112046.65,31075.52,UPI
ORD1113,2024-09-02,CUST588,Isha,Ahmedabad,Accessories,Watch,PROD4095,Watch 5,1,24761.46,0.18,20304.4,3794.52,COD
ORD1114,2024-05-04,CUST917,Isha,Ahmedabad,Home,Lamp,PROD9397,Lamp 7,4,9016.49,0.07,33541.34,7011.35,COD
ORD1115,2023-01-21,CUST961,Aarav,Bangalore,Home,Mattress,PROD2758,Mattress 47,3,22479.16,0.11,60019.36,4856.14,Netbanking
ORD1116,2024-08-07,CUST314,Sanya,Chennai,Home,Curtains,PROD9088,Curtains 18,3,46140.97,0.08,127349.08,37325.08,COD
ORD1117,2024-04-07,CUST464,Ananya,Bangalore,Home,Chair,PROD8210,Chair 16,5,31613.69,0.21,124874.08,19781.94,Netbanking
ORD1118,2023-03-08,CUST313,Aditi,Lucknow,Home,Mattress,PROD3546,Mattress 48,1,31379.89,0.2,25103.91,5258.46,COD
ORD1119,2024-06-30,CUST599,Rohan,Jaipur,Clothing,Dress,PROD9164,Dress 43,4,38973.88,0.24,118480.6,14127.26,UPI
